Step,chosen_model,LogReg,LSTM
0,0.820630568,0.782452934,0.8222927
1,0.822380107,0.781608997,0.825224231
2,0.825758904,0.781339414,0.829412253
3,0.824917698,0.783210289,0.830651136
4,0.82868003,0.784878078,0.832470724
5,0.833121929,0.782456804,0.835224028
6,0.831188717,0.783481669,0.833421984
7,0.833849577,0.784113601,0.834236487
8,0.831781795,0.783996188,0.831892214
9,0.833892862,0.784457433,0.834878979
10,0.834576223,0.780973892,0.833458364
11,0.833935061,0.784349924,0.832112775
12,0.835670378,0.780383539,0.834028089
13,0.835099567,0.783675932,0.835170095
14,0.832853335,0.783893174,0.833356175
15,0.842412383,0.782272693,0.835411363
16,0.837161069,0.783822074,0.833394992
17,0.834784271,0.782118361,0.837178092
18,0.835568572,0.783595307,0.83499645
19,0.834705538,0.784574251,0.833195979
20,0.83857736,0.783586821,0.836270468
21,0.83522619,0.781950037,0.833744641
22,0.835630729,0.783469465,0.833926044
23,0.835001573,0.784151287,0.835247727
24,0.834209752,0.782245702,0.837167674
